day,normalised_cases
0,0.005
1,0.007
2,0.010
3,0.015
4,0.022
5,0.030
6,0.041
7,0.054
8,0.069
9,0.087
10,0.108
11,0.131
12,0.157
13,0.186
14,0.218
15,0.252
16,0.288
17,0.327
18,0.367
19,0.408
20,0.450
21,0.492
22,0.534
23,0.574
24,0.613
25,0.650
26,0.685
27,0.718
28,0.748
29,0.775
30,0.799
31,0.820
32,0.838
33,0.853
34,0.866
35,0.876
36,0.884
37,0.890
38,0.894
39,0.897
40,0.898
41,0.898
42,0.896
43,0.893
44,0.889
45,0.884
46,0.877
47,0.869
48,0.860
49,0.850
50,0.838
51,0.825
52,0.811
53,0.796
54,0.780
55,0.763
56,0.745
57,0.726
58,0.706
59,0.685
60,0.664
61,0.642
62,0.620
63,0.598
64,0.575
65,0.553
66,0.530
67,0.508
68,0.486
69,0.464
70,0.443
71,0.422
72,0.402
73,0.382
74,0.363
75,0.345
76,0.327
77,0.310
78,0.293
79,0.277
80,0.262
81,0.247
82,0.233
83,0.220
84,0.207
85,0.195
86,0.183
87,0.172
88,0.162
89,0.152
90,0.142
91,0.133
92,0.125
93,0.117
94,0.109
95,0.102
96,0.095
97,0.089
98,0.083
99,0.077
100,0.072
101,0.067
102,0.062
103,0.058
104,0.054
105,0.050
106,0.046
107,0.043
108,0.040
109,0.037
110,0.034
111,0.032
112,0.029
113,0.027
114,0.025
115,0.023
116,0.021
117,0.020
118,0.018
119,0.017
